_id,pin,address,start_year,approved_date,program_name,num_years,abatement_amount,neighborhood,council_district,ward,dpw_streets,dpw_enviro,dpw_parks,police_zone,fire_zone,longitude,latitude
13282,0024P00216000000,950 PROGRESS ST,2018,2016-04-26,RESIDENTIAL LERTA,10,150000,Troy Hill,1,23,1,Northern,Riverview,1,1-5,-79.99212196922181,40.453938938362825
13283,0002G00013000000,1030 5TH AVE,2017,2016-04-11,RESIDENTIAL LERTA,10,150000,Bluff,6,1,3,Central,Schenley,2,2-4,-79.98990695941887,40.43851524758896
13284,0025N00030000000,2419 SMALLMAN ST,,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98112237886883,40.45463040871215
13285,0025N00030000100,2419 SMALLMAN ST UNIT 1,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.9812063380434,40.45473305946801
13286,0025N00030010100,2419 SMALLMAN ST UNIT 101,2018,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98119000306835,40.45471876993629
13287,0025N00030010200,2419 SMALLMAN ST UNIT 102,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98114725054268,40.454749190676516
13288,0025N00030010300,2419 SMALLMAN ST UNIT 103,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98110391441057,40.45478033385472
13289,0025N00030020100,2419 SMALLMAN ST UNIT 201,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98108708911847,40.45476603092433
13290,0025N00030020200,2419 SMALLMAN ST UNIT 202,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.9811304712393,40.454735212851794
13291,0025N00030020300,2419 SMALLMAN ST UNIT 203,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98117321592534,40.454704833302614
13292,0025N00030020400,2419 SMALLMAN ST UNIT 204,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98115726869926,40.454690982358635
13293,0025N00030020500,2419 SMALLMAN ST UNIT 205,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.9811143837025,40.454721173638276
13294,0025N00030020600,2419 SMALLMAN ST UNIT 206,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98107086296257,40.454751832478
13295,0025N00030020700,2419 SMALLMAN ST UNIT 207,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98105391593859,40.45473739164111
13296,0025N00030030100,2419 SMALLMAN ST UNIT 301,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98114031024545,40.454676643221326
13297,0025N00030030200,2419 SMALLMAN ST UNIT 302,2017,2016-04-11,RESIDENTIAL ENHANCED LERTA,10,2700,Strip District,7,2,6,Central,Highland,2,2-25,-79.98112274866595,40.454661668343455
