_id,id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,bus_cl_date,seat_count,noroom,sq_feet,status,placard_st,x,y,address
12717,2.01E+11,The Pizza Stop,1315,Mifflin Rd,Pittsburgh,PA,15207,Lincoln Place,211,Restaurant without Liquor,1,12/9/2005,12/9/2005,,18,,,1,1,-79.91245698,40.36972142,1315 Mifflin Rd PA 15207
37689,2.02E+11,Rialto Pizza,623,Greenfield Avenue,Pittsburgh,PA,15207,Lincoln Place,201,Restaurant with Liquor,0,4/11/2023,4/11/2023,,30,,2500,1,1,-79.93878022,40.42643886,623 Greenfield Avenue PA 15207
13081,2.00805E+11,Jesse's Ice Shoppe/Frankstown Pizza,12911,Frankstown  Road,Pittsburgh,PA,15235,Lincoln-Lemington-Belmar,211,Restaurant without Liquor,1,4/29/2008,4/29/2008,,0,,,1,1,-79.82207376,40.48135586,12911 Frankstown  Road PA 15235
6605,41818,Pasqualino's Pizza & Pasta,13032,Frankstown  Road,Pittsburgh,PA,15235,Lincoln-Lemington-Belmar,211,Restaurant without Liquor,1,12/22/1986,12/22/1986,,38,,,1,1,-79.81975266,40.48259535,13032 Frankstown  Road PA 15235
13172,2.00802E+11,Universal Pizza,2558,Universal Rd,Pittsburgh,PA,15235,Lincoln-Lemington-Belmar,211,Restaurant without Liquor,0,2/20/2008,2/20/2008,,18,,,1,1,-79.78742142,40.47183469,2558 Universal Rd PA 15235
24747,2.01309E+11,Pizza Palermo,7343,Saltsburg Road,Pittsburgh,PA,15235,Lincoln-Lemington-Belmar,212,Chain Restaurant without Liquor,0,9/12/2013,9/12/2013,,12,,,1,1,-79.78590208,40.47814746,7343 Saltsburg Road PA 15235
25487,2.02003E+11,Pizza Hut #033989,7301,Saltsburg  Road,Pittsburgh,PA,15235,Lincoln-Lemington-Belmar,212,Chain Restaurant without Liquor,1,3/10/2020,3/10/2020,,0,,,1,1,-79.78762906,40.47738368,7301 Saltsburg  Road PA 15235
39279,2.02309E+11,Fox's Pizza Den Penn Hills,12244,Frankstown Road,Pittsburgh,PA,15235,Lincoln-Lemington-Belmar,212,Chain Restaurant without Liquor,1,9/7/2023,9/7/2023,,6,,,1,1,-79.81915895,40.4722691,12244 Frankstown Road PA 15235
38639,2.02306E+11,Dominoâ€™s Pizza,11822,Frankstown Road,Pittsburgh,PA,15235,Lincoln-Lemington-Belmar,212,Chain Restaurant without Liquor,1,6/26/2023,6/26/2023,,6,,,1,1,-79.82358013,40.46895021,11822 Frankstown Road PA 15235
21950,2.01804E+11,Vocelli Pizza,11745,Frankstown Road,Pittsburgh,PA,15235,Lincoln-Lemington-Belmar,212,Chain Restaurant without Liquor,1,4/17/2018,4/17/2018,,0,,,1,1,-79.82558104,40.46783739,11745 Frankstown Road PA 15235
